routename,distKM,time
Baía de Santa Helena-Diu,8985.71,80
Baía de Santa Helena-Mascate,8769,78
Baía de Santa Helena-Macau,13336.66,118
Baía de Santa Helena-Amboíno,12499.25,110
Baía de Santa Helena-Socotra,7194.44,65
Baía de Santa Helena-Bombaim,8973.38,80
Baía de Santa Helena-Quiloa,5213.25,48
Baía de Santa Helena-Porto,10022.73,89
Baía de Santa Helena-Olinda,6775.56,61
Baía de Santa Helena-São Jorge dos Ilhéus,6767.43,61
Baía de Santa Helena-Natal - Capitania do Rio Grande,6616.3,60
Baía de Santa Helena-Salvador,6652.7,60
Baía de Santa Helena-Porto Seguro,6648.4,60
Baía de Santa Helena-Rio de Janeiro,6404.47,58
Baía de Santa Helena-Vila do Espírito Santo,6347.21,57
Cabo da Boa esperança-Lisboa,9703.19,86
Cabo da Boa esperança-Monte Pascoal - BA,6514.59,59
Cabo da Boa esperança-Cananor,8760.79,78
Cabo da Boa esperança-Ilhas Canárias,8411.4,75
Cabo da Boa esperança-Santiago - Cabo Verde,7241.68,65
Cabo da Boa esperança-Baía de Santa Helena,181.47,4
Cabo da Boa esperança-Mossel Bay,338.2,6
Cabo da Boa esperança-Natal,1877.32,19
Cabo da Boa esperança-Quelimane,3234.18,31
Cabo da Boa esperança-Ilha de moçambique,3830.86,36
Cabo da Boa esperança-Mombaça,5136.59,47
Cabo da Boa esperança-Malindi,5240.26,48
Cabo da Boa esperança-Goa,9295.27,83
Cabo da Boa esperança-Calicute,8732.84,78
Cabo da Boa esperança-Ceuta,9687.31,86
Cabo da Boa esperança-Tanger,9484.09,84
Cabo da Boa esperança-Arzila,9517.42,85
Cabo da Boa esperança-Alcácer-Quibir,9565.66,85
Cabo da Boa esperança-Cochin,8629.55,77
Cabo da Boa esperança-Goa,9295.27,83
Cabo da Boa esperança-Tidore,12530.17,111
Cabo da Boa esperança-Sohar,8977.01,80
Cabo da Boa esperança-Trincomalee,8784.14,78
Cabo da Boa esperança-Malaca,10835.23,96
Cabo da Boa esperança-São Tomé de Meliapor,9332.82,83
Cabo da Boa esperança-Negapatão,9531.3,85
Cabo da Boa esperança-Diu,8903.81,79
